,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
120,5,258708.7476323997,1224491.1854022632,42.686863670225975,88.4,24.3,4.7,26.6,41620,16.2,27.75395336370946,0.4319,11.1,3.231553131046063,4.0619416319237605,47.3598104479296,2.8,8.5
121,5,436658.9186201506,1454603.992550768,19.118428040361124,98.5,1.1,1.5,15.4,39993,19.3,15.813644328962472,0.4382,13.8,3.327330352753082,3.551306129417786,45.94085810651816,0.8,6.6
122,5,435787.59481253545,1301738.2101977798,42.6077265973254,88.4,43.0,0.6,12.7,38468,22.8,13.191489361702128,0.4556,16.3,2.431093135430364,4.4034090909090935,50.547478011129066,0.3,8.9
123,5,297523.55790155265,1361292.9769570464,31.47189794199061,94.9,10.4,3.9,15.6,42802,18.9,13.342602358807175,0.4812,16.0,3.606334136806498,4.329303396660911,55.16036837091141,2.4,6.8
124,5,248780.28543424304,1433403.2546721783,18.174826967444247,98.1,0.0,0.4,20.5,38082,25.5,11.610343061955964,0.4307,11.5,2.2496896166961213,2.4262131065532766,64.38003220611917,1.2,5.0
125,5,422335.1030779657,1257743.708076693,29.696177719699445,91.6,25.9,3.2,15.8,46696,19.0,13.698783074690184,0.4807,21.1,2.8515270750994164,2.701843610934518,45.77331587370871,0.8,6.8
126,5,373232.7700656712,1307349.9456149102,22.61075414271221,96.9,5.7,4.5,20.6,59094,13.2,14.995587910875797,0.4161,8.2,4.504161394208634,3.56141151914422,57.82228256770008,2.3,7.6
127,5,218894.26798456427,1479752.528943197,35.14457936577268,98.9,1.0,15.0,21.2,46110,22.6,12.419095297693548,0.4631,20.8,3.779652028498957,2.9668559803339822,57.84828127298582,8.6,11.1
128,5,474950.6582745958,1342409.6994873874,52.643879637744654,119.4,53.5,5.2,10.4,35348,16.1,14.737451737451735,0.4908,14.8,3.698221107457298,3.685987619583569,36.241268546372304,1.6,8.6
129,5,334772.9860932656,1307567.1771328982,61.5495610804545,91.6,36.8,6.2,34.3,51749,15.0,16.482554514755694,0.509,7.1,6.186631567947816,2.5430111322930604,58.76560284914076,5.5,7.9
130,6,-2149139.8457831466,1853338.6861275,55.427207313209934,101.9,3.2,59.6,13.8,53672,11.0,18.914297926907462,0.4719,11.3,4.921432633905416,2.3919429290809924,60.3070160833805,26.3,8.3
131,6,-2069174.68405354,1877544.030432182,40.7252440725244,103.8,1.5,11.3,24.6,48820,27.5,10.487944890929962,0.4234,4.3,2.476965165675243,2.354085603112843,72.90263101907667,5.8,5.6
132,6,-2022980.1451505427,2329657.4321103645,27.00164357830477,108.1,1.5,14.5,15.2,45507,27.0,10.575951498821151,0.4003,1.0,0.7507882678172688,1.9341469030623948,64.19807834441981,7.5,12.5
133,6,-2229774.703658693,1959867.5888128711,73.14475031751579,95.7,8.7,25.6,42.4,99716,15.4,14.485432711374294,0.4672,6.5,7.315306416630776,2.0733989774924524,76.38652911425339,25.4,5.1
134,6,-1883530.348980241,1709043.334083751,50.07564296520422,101.6,0.9,22.4,27.2,57316,22.8,10.635812426990045,0.4104,2.9,0.5643055459503195,2.4251370729649944,69.70966556413083,9.3,5.8
135,6,-2162309.3682752503,1899394.0946895117,50.40383644623927,98.0,3.0,46.3,17.1,60704,12.8,17.042161732272447,0.4396,12.0,5.884035934969013,2.31119216204398,63.32737241222864,20.3,5.7
136,6,-2159885.120809803,1564370.7198120877,66.40963929299588,100.2,2.0,45.4,34.2,74624,15.0,22.9832137742818,0.4815,6.8,5.085091426904928,2.3160742541392327,71.05882937141317,23.0,10.0
137,6,-2188084.2572461767,2205034.210977941,31.7660059888778,98.9,0.8,25.0,15.7,44514,19.3,13.865940668419077,0.4656,9.0,3.070263187728737,2.3633009641154223,62.61659837851975,8.4,6.3
138,6,-1972999.432555889,1894718.387633723,61.49249157217285,114.3,0.8,27.0,28.8,62260,14.3,15.93990216631726,0.415,2.8,1.5205547041048009,3.1463342238052805,68.29515507804581,19.7,16.1
