,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1885,NE,-97.1408508718416,40.5240864322705,9.4,14.7,69.5,58.1,19.1,15.5,29.1,36.3,23.1
1886,ID,-114.668371045529,42.3560015617514,11.0,11.9,72.7,63.2,15.8,13.4,24.1,34.2,21.4
1888,IA,-92.3180439106681,42.7746111390875,9.6,6.0,75.7,68.6,24.1,16.2,23.4,34.5,19.5
1889,NC,-81.2149250535504,35.6622179779733,9.9,9.8,74.8,60.3,18.6,17.0,23.3,32.3,23.2
1890,CA,-121.238518915104,36.2170334850568,10.4,14.8,68.1,57.5,17.6,13.9,25.5,34.4,32.1
1892,IN,-86.9620535060412,39.0363946257394,11.5,10.0,75.3,56.6,17.6,22.9,30.4,35.9,23.8
1893,TN,-89.1400768323825,35.8133845571858,12.0,15.3,75.4,53.9,16.5,21.5,31.1,42.1,30.5
1895,TX,-101.152139791138,29.8924665112135,9.2,36.2,70.8,45.7,17.2,15.8,35.7,39.4,32.2
1896,AK,-135.315163429465,57.2335274122738,10.6,10.7,66.0,61.2,19.7,15.8,20.7,31.8,27.3
1898,GA,-81.4070470668074,31.4952884892852,11.1,15.8,76.5,53.2,15.0,18.1,28.6,38.8,30.8
1899,IA,-91.259564555602,41.2184586340229,10.4,11.5,76.7,64.3,26.1,19.0,32.1,37.8,25.9
1900,IN,-85.0665615439245,41.0909025820574,10.8,8.9,76.1,59.5,17.1,18.8,26.9,36.0,25.1
1901,GA,-82.0580042364248,32.0458230000891,10.5,21.8,74.8,48.7,15.2,20.3,32.5,42.6,34.0
1902,AL,-87.373658054727,34.1492657099146,10.2,13.1,76.7,56.8,17.3,17.8,28.1,37.3,22.9
1903,WV,-81.2481375065092,37.771281087791,13.2,11.2,79.9,53.1,15.5,20.8,31.8,44.1,27.3
1904,CA,-118.800931923116,36.2202887082927,10.6,22.7,67.3,52.6,18.6,15.4,30.9,35.1,33.6
1909,MN,-93.802266670394,44.8206518387179,9.3,4.7,70.6,72.7,21.9,11.0,16.7,26.4,19.1
1910,UT,-110.425966057871,40.298103934115,12.0,10.9,67.9,63.4,13.2,12.1,22.3,32.0,21.0
1911,TX,-100.304658227238,29.9828253544507,10.5,35.4,71.0,42.4,17.1,19.6,36.6,40.6,31.6
1912,KY,-83.6964964992036,38.3703100283795,11.9,7.7,75.7,49.9,14.2,24.2,31.2,43.3,23.4
1913,KS,-94.8497424122093,37.8551496676803,11.5,9.4,73.8,56.0,18.2,21.0,29.3,40.8,22.0
1914,WV,-80.4528428963638,37.9469307056766,12.7,6.8,79.5,52.3,16.4,21.6,30.1,39.6,23.7
1916,KS,-96.3425297074575,39.378849403529,10.0,8.1,74.2,69.3,19.3,12.7,20.5,35.4,19.1
1919,KS,-99.317514905956,38.9146675466753,10.7,8.9,75.1,66.5,20.4,13.9,20.5,35.5,20.9
1920,MN,-94.9166044684452,47.1087450936448,10.3,6.0,69.2,65.7,22.4,16.1,20.8,30.4,21.9
1921,MO,-89.6516052602351,36.5949077997842,11.7,14.5,74.9,50.2,18.8,25.4,32.1,42.8,25.7
1922,IN,-86.2899346956447,41.6166137389104,11.3,9.3,77.7,59.7,16.5,16.7,27.8,38.3,25.8
1923,TX,-97.6346241068678,31.9004093012352,10.5,19.7,71.0,50.9,19.2,19.2,29.2,38.4,26.6
1924,MS,-89.0374143001363,34.2254190254887,10.1,14.6,77.1,9.7,16.3,17.8,28.9,35.8,30.0
1926,TX,-94.1629669978283,29.8838681845397,10.4,20.9,73.3,49.3,18.8,18.8,34.3,41.2,30.4
1927,KS,-94.8430719270276,38.2123289223855,10.8,12.7,73.9,61.5,19.3,17.4,25.3,34.5,22.9
1928,KY,-88.0968339426757,37.3524113003446,11.5,8.6,76.4,54.5,14.9,20.6,27.6,41.9,22.9
1930,TX,-102.351704737313,34.0686552915887,10.2,28.1,70.9,45.3,17.9,18.4,34.9,39.5,32.1
