Running algorithms: ['AZP', 'RegionKModels', 'SKATER-reg', 'GWR+SKATER', 'SHAP-based']
Resuming from: <path>\simulation_study\results\baseline_per_dataset.csv
Already-completed (algo,dataset) pairs: 18

  Arbitrary d=129: time=0.05s ssr=439.66 randi=0.825 nmi=0.580 mae=0.653
  Arbitrary d=130: time=0.04s ssr=151.11 randi=0.858 nmi=0.619 mae=0.468
  Arbitrary d=131: time=0.03s ssr=238.70 randi=0.847 nmi=0.567 mae=0.554
  Arbitrary d=132: time=0.05s ssr=465.81 randi=0.838 nmi=0.618 mae=0.607
  Arbitrary d=133: time=0.01s ssr=291.79 randi=0.783 nmi=0.392 mae=0.907
  Arbitrary d=134: time=0.05s ssr=513.95 randi=0.748 nmi=0.412 mae=0.769
  Arbitrary d=135: time=0.06s ssr=509.63 randi=0.788 nmi=0.442 mae=0.771
  Arbitrary d=136: time=0.03s ssr=247.03 randi=0.785 nmi=0.468 mae=1.172
  Arbitrary d=137: time=0.03s ssr=646.34 randi=0.777 nmi=0.357 mae=0.950
  Arbitrary d=138: time=0.03s ssr=299.72 randi=0.823 nmi=0.515 mae=0.635
  Arbitrary d=139: time=0.03s ssr=262.09 randi=0.823 nmi=0.544 mae=0.803
  Arbitrary d=140: time=0.02s ssr=260.34 randi=0.776 nmi=0.385 mae=1.144
  Arbitrary d=141: time=0.00s ssr=188.09 randi=0.813 nmi=0.530 mae=0.589
  Arbitrary d=142: time=0.06s ssr=297.83 randi=0.801 nmi=0.470 mae=0.771
  Arbitrary d=143: time=0.03s ssr=496.53 randi=0.771 nmi=0.369 mae=1.022
  Arbitrary d=144: time=0.05s ssr=213.28 randi=0.812 nmi=0.507 mae=0.627
  Arbitrary d=145: time=0.03s ssr=200.89 randi=0.795 nmi=0.464 mae=1.011
  Arbitrary d=146: time=0.05s ssr=264.70 randi=0.784 nmi=0.477 mae=0.769
  Arbitrary d=147: time=0.05s ssr=371.17 randi=0.842 nmi=0.570 mae=0.670
  Arbitrary d=148: time=0.03s ssr=228.64 randi=0.811 nmi=0.607 mae=0.559
  Arbitrary d=149: time=0.03s ssr=196.53 randi=0.897 nmi=0.705 mae=0.551
=== RegionKModels done in 10.3s ===

=== SKATER-reg ===
  Rectangular d=0: time=24.21s ssr=671.87 randi=0.669 nmi=0.426 mae=0.908
  Rectangular d=1: time=23.81s ssr=761.87 randi=0.518 nmi=0.332 mae=0.988
  Rectangular d=2: time=25.64s ssr=378.97 randi=0.702 nmi=0.444 mae=0.797
